"","H","C","Tau","D"
"1313",0.998919323792409,0.00258549914433764,10,6
"1314",0.999075363163072,0.00221424827201909,10,6
"1315",0.998871670959404,0.00270239023465039,10,6
"1316",0.99887382069496,0.00269645186468882,10,6
"1317",0.998978316180852,0.00244623925475468,10,6
"1318",0.998876938511229,0.00269427144812258,10,6
"1319",0.998991495568698,0.002424617246586,10,6
"1320",0.998944269863478,0.0025246401351321,10,6
"1321",0.998917857396877,0.00259365334991025,10,6
"1322",0.99901102263801,0.00236594031180039,10,6
"1323",0.998954470629809,0.00250432455375916,10,6
"1324",0.998971586263878,0.00246820931703916,10,6
"1325",0.998890308618248,0.00265620986337251,10,6
"1326",0.998793593867454,0.0028940376155644,10,6
"1327",0.998830105836345,0.0027973442769013,10,6
